id,category,price,backers
14,music,30.0,12
14,music,40.0,34
14,music,50.0,26
14,music,80.0,13
14,music,100.0,12
14,music,150.0,10
14,music,200.0,2
14,music,250.0,2
14,music,350.0,2
14,music,500.0,3
14,music,1000.0,0
15,music,10.0,16
15,music,15.0,49
15,music,20.0,75
15,music,35.0,15
15,music,50.0,11
15,music,100.0,3
15,music,200.0,1
15,music,500.0,0
15,music,1000.0,0
16,music,25.0,11
16,music,40.0,3
16,music,80.0,0
16,music,80.0,1
16,music,120.0,0
16,music,150.0,0
16,music,500.0,1
17,music,35.0,21
17,music,5.0,6
17,music,5.0,4
17,music,10.0,13
17,music,15.0,5
17,music,20.0,23
17,music,25.0,5
17,music,55.0,0
17,music,65.0,4
17,music,80.0,15
17,music,130.0,0
17,music,150.0,0
17,music,150.0,1
17,music,150.0,0
18,music,5.0,18
18,music,10.0,54
18,music,20.0,298
18,music,50.0,96
18,music,100.0,21
18,music,300.0,0
18,music,500.0,0
18,music,800.0,0
18,music,1000.0,2
19,music,250.0,0
19,music,500.0,3
19,music,1000.0,1
20,music,30.0,27
20,music,50.0,3
20,music,100.0,3
21,music,65.0,103
21,music,30.0,118
21,music,40.0,182
21,music,54.0,49
21,music,60.0,14
21,music,75.0,11
21,music,75.0,10
21,music,85.0,9
21,music,90.0,23
21,music,250.0,2
21,music,500.0,5
22,music,20.0,3
22,music,10.0,35
22,music,15.0,12
22,music,20.0,18
22,music,50.0,6
22,music,75.0,3
22,music,100.0,0
22,music,150.0,5
22,music,300.0,0
22,music,500.0,0
22,music,750.0,0
22,music,1000.0,0
23,music,10.0,34
23,music,25.0,26
23,music,50.0,27
23,music,100.0,11
23,music,200.0,5
23,music,500.0,3
23,music,1000.0,0
24,music,2.0,11
24,music,5.0,11
24,music,10.0,40
24,music,30.0,33
24,music,50.0,12
24,music,100.0,7
24,music,300.0,3
24,music,500.0,0
24,music,1000.0,0
25,music,1.0,2
25,music,10.0,18
25,music,20.0,82
25,music,50.0,34
25,music,100.0,13
25,music,4000.0,0
26,music,20.0,28
26,music,25.0,21
26,music,100.0,0
26,music,150.0,3
26,music,200.0,0
26,music,30.0,59
26,music,35.0,20
27,music,100.0,13
27,music,10.0,13
27,music,20.0,31
27,music,30.0,23
27,music,40.0,5
27,music,50.0,13
27,music,75.0,6
27,music,200.0,4
27,music,1000.0,0
28,music,70.0,0
28,music,10.0,5
28,music,15.0,9
28,music,20.0,41
28,music,30.0,9
28,music,35.0,1
28,music,40.0,3
28,music,45.0,2
28,music,50.0,5
28,music,60.0,4
28,music,90.0,3
28,music,100.0,2
28,music,150.0,0
28,music,200.0,0
28,music,250.0,0
28,music,350.0,0
28,music,400.0,0
28,music,450.0,0
28,music,600.0,1
29,music,10.0,9
29,music,15.0,22
29,music,15.0,4
29,music,20.0,29
29,music,25.0,7
29,music,30.0,14
29,music,30.0,7
29,music,50.0,7
29,music,80.0,0
29,music,125.0,1
29,music,150.0,2
29,music,350.0,0
29,music,1000.0,1
30,music,5.0,2
30,music,10.0,5
30,music,15.0,30
30,music,25.0,20
30,music,50.0,24
30,music,100.0,5
30,music,200.0,1
30,music,300.0,0
30,music,500.0,0
30,music,1000.0,0
31,music,10.0,11
31,music,15.0,19
31,music,25.0,58
31,music,45.0,2
31,music,45.0,20
31,music,75.0,8
31,music,100.0,8
32,music,10.0,13
32,music,25.0,6
32,music,30.0,31
32,music,40.0,7
32,music,50.0,22
32,music,70.0,0
32,music,250.0,1
32,music,325.0,7
33,music,10.0,15
33,music,15.0,29
33,music,25.0,8
33,music,50.0,12
33,music,300.0,1
34,music,10.0,17
34,music,5.0,0
