id,category,price,backers
25,theatre,5.0,0
25,theatre,20.0,8
25,theatre,50.0,4
25,theatre,100.0,12
25,theatre,400.0,1
26,theatre,10.0,20
26,theatre,25.0,36
26,theatre,50.0,25
26,theatre,80.0,2
26,theatre,100.0,15
26,theatre,250.0,4
26,theatre,500.0,5
26,theatre,750.0,1
26,theatre,1500.0,0
27,theatre,5.0,5
27,theatre,10.0,11
27,theatre,20.0,14
27,theatre,50.0,20
27,theatre,75.0,5
27,theatre,100.0,5
27,theatre,400.0,3
27,theatre,1800.0,0
28,theatre,75.0,14
28,theatre,20.0,16
28,theatre,35.0,14
28,theatre,50.0,14
28,theatre,100.0,9
28,theatre,175.0,4
28,theatre,500.0,0
28,theatre,650.0,0
28,theatre,800.0,0
29,theatre,10.0,21
29,theatre,25.0,24
29,theatre,50.0,10
29,theatre,75.0,3
29,theatre,100.0,3
29,theatre,150.0,2
30,theatre,30.0,40
30,theatre,50.0,32
30,theatre,80.0,9
30,theatre,150.0,5
30,theatre,250.0,1
30,theatre,450.0,0
31,theatre,10.0,3
31,theatre,20.0,5
31,theatre,40.0,11
31,theatre,70.0,5
31,theatre,100.0,5
31,theatre,150.0,1
31,theatre,200.0,2
32,theatre,125.0,8
32,theatre,5.0,2
32,theatre,10.0,13
32,theatre,25.0,5
32,theatre,50.0,16
32,theatre,250.0,2
32,theatre,500.0,2
32,theatre,1450.0,1
33,theatre,10.0,34
33,theatre,25.0,46
33,theatre,40.0,25
33,theatre,80.0,14
33,theatre,150.0,8
33,theatre,300.0,0
33,theatre,600.0,0
34,theatre,60.0,6
34,theatre,10.0,12
34,theatre,30.0,20
34,theatre,100.0,15
34,theatre,300.0,2
35,theatre,150.0,3
35,theatre,10.0,14
35,theatre,25.0,13
35,theatre,50.0,13
35,theatre,100.0,7
36,theatre,10.0,8
36,theatre,15.0,20
36,theatre,20.0,11
36,theatre,30.0,21
36,theatre,30.0,21
36,theatre,50.0,14
36,theatre,400.0,0
36,theatre,500.0,1
37,theatre,10.0,19
37,theatre,20.0,45
37,theatre,40.0,27
37,theatre,50.0,17
37,theatre,75.0,1
37,theatre,100.0,9
37,theatre,250.0,5
37,theatre,750.0,0
38,theatre,30.0,21
38,theatre,50.0,10
38,theatre,100.0,8
39,theatre,5.0,4
39,theatre,10.0,2
39,theatre,15.0,7
39,theatre,25.0,16
39,theatre,35.0,0
39,theatre,50.0,16
39,theatre,75.0,1
39,theatre,100.0,1
39,theatre,100.0,4
39,theatre,200.0,3
40,theatre,10.0,4
40,theatre,20.0,7
40,theatre,50.0,11
40,theatre,100.0,10
40,theatre,250.0,2
40,theatre,500.0,2
40,theatre,1000.0,1
40,theatre,2000.0,0
40,theatre,5000.0,0
40,theatre,10000.0,0
40,theatre,50000.0,0
41,theatre,50.0,6
41,theatre,5.0,1
41,theatre,10.0,2
41,theatre,20.0,3
41,theatre,35.0,6
41,theatre,75.0,0
41,theatre,100.0,6
41,theatre,150.0,1
41,theatre,200.0,2
42,theatre,10.0,6
42,theatre,10.0,1
42,theatre,10.0,1
42,theatre,20.0,1
42,theatre,20.0,14
42,theatre,20.0,9
42,theatre,40.0,3
42,theatre,40.0,4
42,theatre,50.0,0
42,theatre,250.0,1
42,theatre,500.0,1
42,theatre,500.0,0
43,theatre,5.0,0
43,theatre,10.0,6
43,theatre,25.0,5
43,theatre,50.0,19
43,theatre,100.0,7
43,theatre,250.0,0
44,theatre,10.0,15
44,theatre,25.0,22
44,theatre,50.0,22
44,theatre,100.0,11
44,theatre,200.0,0
44,theatre,300.0,2
44,theatre,500.0,3
45,theatre,5.0,0
45,theatre,10.0,4
45,theatre,20.0,3
45,theatre,30.0,1
45,theatre,50.0,1
45,theatre,100.0,4
45,theatre,200.0,2
45,theatre,500.0,0
45,theatre,600.0,0
46,theatre,20.0,1
46,theatre,50.0,6
46,theatre,100.0,8
46,theatre,150.0,5
46,theatre,200.0,4
46,theatre,300.0,5
46,theatre,500.0,4
47,theatre,5.0,6
47,theatre,10.0,12
47,theatre,25.0,14
47,theatre,50.0,5
47,theatre,75.0,3
47,theatre,100.0,5
47,theatre,1000.0,0
48,theatre,25.0,5
48,theatre,50.0,13
48,theatre,100.0,15
48,theatre,125.0,2
48,theatre,250.0,4
48,theatre,500.0,2
48,theatre,1000.0,0
49,theatre,10.0,23
49,theatre,30.0,15
