id,is_successful,percentage_fund,funded,target,in_2020,backers,category,thumbnail_type,num_rewards,min_price,max_price,num_news,num_comments,num_contributions,num_creator_projects
79,successful,111 %,"€8,840","Out of €8,000",11/5/2019,31,sport,jpg,6,25.0,2500.0,4,5,37,1
80,successful,100 %,"€40,004","Out of €40,000",11/4/2019,260,sport,jpg,8,30.0,100000.0,9,69,266,1
81,successful,134 %,"€8,010","Out of €6,000",11/4/2019,61,sport,png,9,10.0,350.0,0,5,62,1
82,successful,107 %,"€4,060","Out of €3,780",10/31/2019,96,sport,jpg,22,10.0,300.0,0,12,103,1
83,successful,100 %,"€5,010","Out of €5,000",10/31/2019,108,sport,jpg,6,10.0,2000.0,0,9,110,1
84,successful,111 %,"€7,740","Out of €7,000",10/29/2019,136,sport,jpg,10,10.0,550.0,0,25,139,1
85,successful,106 %,"€3,910","Out of €3,700",10/28/2019,25,sport,jpg,8,10.0,1000.0,0,6,26,1
86,successful,101 %,"€6,070","Out of €6,000",10/14/2019,59,sport,jpg,6,10.0,500.0,0,10,60,1
87,successful,279 %,"€4,600","Out of €1,650",10/14/2019,97,sport,jpg,7,5.0,250.0,1,18,98,1
88,successful,156 %,"€5,851","Out of €3,750",10/13/2019,83,sport,png,9,5.0,3000.0,3,7,93,1
89,successful,110 %,"€11,012","Out of €10,000",10/7/2019,215,sport,png,5,20.0,249.0,4,19,218,1
