,Unnamed: 0,backers,creater_link,end_date,funded,language,max_price,min_price,num_comments,num_contributions,num_news,number_rewards,percentage_fund,pro_link,short_des,status,subcategory,target,thumbnail_type,title
66,66,38,https://www.kisskissbankbank.com/en/users/antonin-helea,08/14/2017,"€5,275",fr,3000.0,5.0,18.0,38.0,4.0,14.0,105.0,https://www.kisskissbankbank.com/en/projects/antonin-helea-maison-de-joaillerie-francaise,Participez à la création des nouvelles gammes du médaillon Antonin Héléa pour l'automne 2017.,Successful,,"Out of €5,000",jpg,Antonin Héléa | Maison de joaillerie française
67,67,76,https://www.kisskissbankbank.com/en/users/julie-john,08/14/2017,"€4,600",fr,500.0,5.0,7.0,76.0,1.0,10.0,100.0,https://www.kisskissbankbank.com/en/projects/julie-john-realisation-du-1er-ep--2,Hello les Kiss Kiss Bankers... Suivez moi dans cette folle aventure ! ,Successful,,"Out of €4,600",jpeg,JULIE JOHN : Réalisation du 1er EP !
68,68,107,https://www.kisskissbankbank.com/en/users/jeangabriel-gt,08/13/2017,"€8,940",fr,1000.0,10.0,13.0,107.0,0.0,7.0,127.0,https://www.kisskissbankbank.com/en/projects/john-gab-le-film-target-9000-euros,John Gab - Le Film : une comédie sur un écrivain fou en Thaïlande. Un parcours initiatique déjanté et coloré. ,Successful,,"Out of €7,000",png,John Gab - Le Film - Target 9000 euros
69,69,40,https://www.kisskissbankbank.com/en/users/body-diets-evolutions-wt,08/12/2017,"€6,051",fr,1000.0,5.0,6.0,40.0,8.0,8.0,100.0,https://www.kisskissbankbank.com/en/projects/tour-du-monde-a-velo-sur-l-alimentation-preventive-du-futur,Soutenez un projet unique ! Un tour du monde à vélo des alimentations préventives du futur ... parce que votre santé le vaut bien !,Successful,,"Out of €6,000",jpg,Tour du monde à vélo sur l'alimentation préventive du futur
70,70,87,https://www.kisskissbankbank.com/en/users/karotch,08/12/2017,"€4,237",fr,500.0,5.0,19.0,87.0,1.0,8.0,105.0,https://www.kisskissbankbank.com/en/projects/la-terre-native-epicerie-zero-dechet--2,"Aidez moi à créer La Terre Native ! Plus qu'un projet, un vrai mode de vie où les déchets sont exclu ! Une épicerie sans emballage en Bretagne !",Successful,,"Out of €4,000",jpg,"La terre native, épicerie zéro déchet"
71,71,123,https://www.kisskissbankbank.com/en/users/lebaba,08/12/2017,"€6,070",fr,250.0,5.0,16.0,123.0,1.0,5.0,121.0,https://www.kisskissbankbank.com/en/projects/le-baba-marche-cantine-des-chefs-migrants,"Le Baba a besoin de vous pour bâtir son marché-cantine de chefs réfugiés et immigrés, qui vous régaleront et seront des rencontres inoubliables !",Successful,,"Out of €5,000",png,"Le Baba, marché-cantine des chefs migrants"
72,72,58,https://www.kisskissbankbank.com/en/users/stef_369,08/12/2017,"€3,655",en,1000.0,15.0,11.0,58.0,4.0,13.0,107.0,https://www.kisskissbankbank.com/en/projects/musa-mx,Help us to build up our fairtrade online shop! This is a sustainable and social responsible project. Products with human value made in Mexico!,Successful,,"Out of €3,400",png,Musa Mx
73,73,60,https://www.kisskissbankbank.com/en/users/la-compagnie-les-executants,08/11/2017,"€4,000",fr,1000.0,5.0,5.0,60.0,1.0,9.0,100.0,https://www.kisskissbankbank.com/en/projects/les-executants-le-spectacle,"Aidez notre joyeuse famille de sept comédiens à défendre leur première création théâtrale, audacieuse, engagée et humaniste.",Successful,,"Out of €4,000",png,Les Exécutants : le spectacle !
74,74,68,https://www.kisskissbankbank.com/en/users/association-dessine-moi-une-planete,08/10/2017,"€6,000",fr,200.0,10.0,12.0,68.0,0.0,6.0,120.0,https://www.kisskissbankbank.com/en/projects/projet-a-deux-mains,"Des enfants et des personnes âgées : deux générations réunies pour réfléchir et créer, afin que chaque génération puisse (re)trouver sa place !",Successful,,"Out of €5,000",png,"Projet ""À deux mains"""
75,75,217,https://www.kisskissbankbank.com/en/users/bordelophone,08/09/2017,"€8,539",fr,150.0,5.0,35.0,217.0,13.0,6.0,111.0,https://www.kisskissbankbank.com/en/projects/1er-album-du-bordelophone,Soutenez le premier album de Bordelophone!,Successful,,"Out of €7,680",jpg,1er album du Bordelophone
76,76,57,https://www.kisskissbankbank.com/en/users/geraud--8,08/09/2017,"€4,412",fr,400.0,5.0,11.0,57.0,0.0,8.0,100.0,https://www.kisskissbankbank.com/en/projects/dans-les-yeux-de-tsentsem,"Tsentsem, jeune indienne d'Amazonie, perd la vue... Offrons-lui un diagnostic médical et aidons-la à découvrir la vie en-dehors de sa tribu !",Successful,,"Out of €4,407",jpg,Dans les yeux de Tsentsem
77,77,84,https://www.kisskissbankbank.com/en/users/barbara-jfmd,08/09/2017,"€3,650",fr,500.0,5.0,20.0,84.0,2.0,10.0,182.0,https://www.kisskissbankbank.com/en/projects/je-fais-mes-dessous-creez-votre-lingerie,"Fini la galère des essayages en boutique pour acheter vos dessous...
Créez votre lingerie avec Je fais mes dessous.",Successful,,"Out of €2,000",jpg,Je fais mes dessous...créez votre lingerie!!
78,78,90,https://www.kisskissbankbank.com/en/users/mrg--6,08/09/2017,"€12,166",fr,5000.0,10.0,20.0,90.0,4.0,9.0,121.0,https://www.kisskissbankbank.com/en/projects/un-local-scout-a-renover-pour-les-eeif-de-marseille,Un local Scout rénové : plus convivial et plus fonctionnel pour les EEIF de Marseille,Successful,,"Out of €10,000",png,UN LOCAL SCOUT A RENOVER POUR LES EEIF DE MARSEILLE
79,79,145,https://www.kisskissbankbank.com/en/users/alexbrgn,08/09/2017,"€6,310",fr,200.0,5.0,33.0,145.0,1.0,8.0,105.0,https://www.kisskissbankbank.com/en/projects/ikone-bar-a-chocolat-fondu,Aidez-nous à financer le 1er Bar à Chocolat Fondu de France ! ,Successful,,"Out of €6,000",jpg,"IKÔNE - Bar à Chocolat ""Fondu"""
80,80,19,https://www.kisskissbankbank.com/en/users/mayacherfan,08/08/2017,"€5,000",fr,1000.0,5.0,1.0,19.0,0.0,9.0,100.0,https://www.kisskissbankbank.com/en/projects/mindart,"Merci de me soutenir dans mon projet MINDART , 
Méditation Artistique Contemporaine",Successful,,"Out of €5,000",jpg,MINDART
81,81,278,https://www.kisskissbankbank.com/en/users/auto-forever,08/08/2017,"€22,429",fr,390.0,10.0,61.0,278.0,17.0,9.0,112.0,https://www.kisskissbankbank.com/en/projects/auto-forever-presente-le-guide-de-toutes-les-bmw-volume-1,Le Guide de Toutes les BMW premier volume Série 3 E21 E30 E36 Z1 Z3 : un ouvrage réalisé par des passionnés. Livre de référence sur BMW.,Successful,,"Out of €20,000",gif,Le Guide de toutes les BMW volume 1
82,82,51,https://www.kisskissbankbank.com/en/users/yew--2,08/08/2017,"€3,150",ca,500.0,5.0,13.0,51.0,0.0,10.0,105.0,https://www.kisskissbankbank.com/en/projects/yew-nouvel-album-bam-bam-bam,"ASSISTER À L’ENREGISTREMENT DU NOUVEL ALBUM DE YEW, ÇA VOUS TENTE ?",Successful,,"Out of €3,000",jpg,YEW - Nouvel album : Bam Bam Bam
83,83,55,https://www.kisskissbankbank.com/en/users/simon-ferrante,08/08/2017,"€3,145",fr,300.0,5.0,13.0,55.0,1.0,8.0,104.0,https://www.kisskissbankbank.com/en/projects/1er-album-de-simon-ferrante,Participez au financement de mon premier album 5 titres (E.P) !!,Successful,,"Out of €3,000",png,1er Album de Simon Ferrante
