,Unnamed: 0,pro_link,title,status,percentage_fund,funded,target,end_date,backers,subcategory,thumbnail_type,number_rewards,min_price,max_price,num_news,num_comments,num_contributions,creater_link,language,short_des
27,27,https://www.kisskissbankbank.com/en/projects/monsieur-madone--2,Monsieur Madone,Successful,124,"€4,940","Out of €4,000",04/14/2013,57,,jpg,11,1.0,690.0,3,17,57,https://www.kisskissbankbank.com/en/users/seb-garat,en,Monsieur Madone is a French brand of high-end beachwear. It combines both the spirit of travelling and fashion in an authentic way.
28,28,https://www.kisskissbankbank.com/en/projects/blue-gene-du-2-0-au-vinyle,Blue Gene >> Du 2.0 au vinyle,Successful,101,"€3,015","Out of €3,000",04/13/2013,59,,jpg,7,1.0,300.0,10,11,59,https://www.kisskissbankbank.com/en/users/garde-robe,en,"
Born of an 2.0 encounter between Durban et Paris, BLUE GENE wants to produce his first vinyl. With your help, it would be so much better ! "
29,29,https://www.kisskissbankbank.com/en/projects/so-wax-first-album,So WAX first album,Successful,100,"€4,351","Out of €4,350",04/13/2013,87,,jpg,11,3.0,800.0,3,23,87,https://www.kisskissbankbank.com/en/users/mze-shina,en,"Project UFO (Ultrasonic Folk Oddity) at a crossroad between soul and pop, So WAX takes a colorfull spin on the world to record their first album !"
30,30,https://www.kisskissbankbank.com/en/projects/le-donguibogam-la-sante-par-l-harmonie,Le DongUiBoGam : la Santé par l'Harmonie,Successful,109,"€5,265","Out of €4,850",04/13/2013,57,,jpg,10,5.0,450.0,6,19,57,https://www.kisskissbankbank.com/en/users/reportages-du-monde,fr,"Exposition photographique et documentaire vidéo sur la médecine traditionnelle coréenne.
Découvrez le projet et soutenez nous!"
31,31,https://www.kisskissbankbank.com/en/projects/vivre-en-islande-2-0,Vivre en Islande 2.0,Successful,100,"€5,300","Out of €5,300",04/12/2013,86,,jpg,13,5.0,990.0,9,44,86,https://www.kisskissbankbank.com/en/users/vivre-en-islande,fr,Le premier webzine francophone sur l’Islande. Aidez-nous à lancer cette nouvelle recette éditoriale au pays de la révolution des Casseroles.
32,32,https://www.kisskissbankbank.com/en/projects/3-fois-sans-frais,3 Fois Sans Frais,Successful,101,"€10,085","Out of €10,000",04/12/2013,44,,jpg,9,10.0,2500.0,15,12,43,https://www.kisskissbankbank.com/en/users/tony-bertrand,fr,"





















Aidez-moi à produire mon nouveau court-métrage et ainsi me permettre de le présenter au Short Film Corner de Cannes 2013 !"
33,33,https://www.kisskissbankbank.com/en/projects/showcase-au-xxeme-theatre-1er-album-live,Showcase au XXème Théâtre - 1er album live,Successful,116,"€4,645","Out of €3,996",04/12/2013,64,,jpg,11,5.0,3996.0,0,27,64,https://www.kisskissbankbank.com/en/users/guyot,fr,"Un concert unique pour présenter son projet et sortir son 1er album live! 
Claire a besoin de vous!"
34,34,https://www.kisskissbankbank.com/en/projects/otto10,OTTO10,Successful,112,"€6,173","Out of €5,500",04/12/2013,279,,jpg,8,5.0,500.0,4,41,279,https://www.kisskissbankbank.com/en/users/otto10-equipe,fr,"


Donner jour à un nouvel évènement autour de la musique électronique, conçu pour et par des aficionados responsables et exigeants : OTTO10 !"
35,35,https://www.kisskissbankbank.com/en/projects/festival-plastique-danse-flore,Festival Plastique Danse Flore,Successful,101,"€5,050","Out of €5,000",04/11/2013,72,,jpg,5,10.0,500.0,2,6,72,https://www.kisskissbankbank.com/en/users/plastique-danse-flore,fr,"





Soutenez le nouveau rendez-vous printanier du festival Plastique Danse Flore!
Danse contemporaine, arts et paysage, au Potager du Roi"
36,36,https://www.kisskissbankbank.com/en/projects/my-black-box,My Black Box,Successful,100,"€3,555","Out of €3,550",04/09/2013,89,,jpg,10,5.0,1600.0,10,38,89,https://www.kisskissbankbank.com/en/users/lilo-graine,en,"Let's make your input to improve ""my-blackbox"", a very creative nomadic photography studio that wishes to become a professional studio..."
