,pro_link,price,num_backers,has_media
50,https://www.kisskissbankbank.com/en/projects/a-l-envers-bistrot-boutique-evenements,10.0,12,True
51,https://www.kisskissbankbank.com/en/projects/a-l-envers-bistrot-boutique-evenements,15.0,21,True
52,https://www.kisskissbankbank.com/en/projects/a-l-envers-bistrot-boutique-evenements,25.0,50,True
53,https://www.kisskissbankbank.com/en/projects/a-l-envers-bistrot-boutique-evenements,50.0,43,True
54,https://www.kisskissbankbank.com/en/projects/a-l-envers-bistrot-boutique-evenements,75.0,4,True
55,https://www.kisskissbankbank.com/en/projects/a-l-envers-bistrot-boutique-evenements,100.0,15,True
56,https://www.kisskissbankbank.com/en/projects/a-l-envers-bistrot-boutique-evenements,200.0,4,True
57,https://www.kisskissbankbank.com/en/projects/a-l-envers-bistrot-boutique-evenements,500.0,1,True
58,https://www.kisskissbankbank.com/en/projects/a-l-envers-bistrot-boutique-evenements,1000.0,1,True
59,https://www.kisskissbankbank.com/en/projects/a-l-envers-bistrot-boutique-evenements,2000.0,0,False
60,https://www.kisskissbankbank.com/en/projects/un-troupeau-pour-repartir-a-zero,5.0,4,False
61,https://www.kisskissbankbank.com/en/projects/un-troupeau-pour-repartir-a-zero,15.0,0,False
62,https://www.kisskissbankbank.com/en/projects/un-troupeau-pour-repartir-a-zero,20.0,25,True
63,https://www.kisskissbankbank.com/en/projects/un-troupeau-pour-repartir-a-zero,30.0,4,False
64,https://www.kisskissbankbank.com/en/projects/un-troupeau-pour-repartir-a-zero,50.0,11,False
65,https://www.kisskissbankbank.com/en/projects/un-troupeau-pour-repartir-a-zero,70.0,5,False
66,https://www.kisskissbankbank.com/en/projects/un-troupeau-pour-repartir-a-zero,135.0,10,False
67,https://www.kisskissbankbank.com/en/projects/un-troupeau-pour-repartir-a-zero,200.0,5,False
68,https://www.kisskissbankbank.com/en/projects/un-troupeau-pour-repartir-a-zero,1000.0,0,False
69,https://www.kisskissbankbank.com/en/projects/un-troupeau-pour-repartir-a-zero,2000.0,0,False
70,https://www.kisskissbankbank.com/en/projects/cd-winterreise-transcription-pour-quatuor-et-baryton-les-heures-du-jour,10.0,2,False
71,https://www.kisskissbankbank.com/en/projects/cd-winterreise-transcription-pour-quatuor-et-baryton-les-heures-du-jour,25.0,8,False
72,https://www.kisskissbankbank.com/en/projects/cd-winterreise-transcription-pour-quatuor-et-baryton-les-heures-du-jour,50.0,23,False
73,https://www.kisskissbankbank.com/en/projects/cd-winterreise-transcription-pour-quatuor-et-baryton-les-heures-du-jour,75.0,1,False
74,https://www.kisskissbankbank.com/en/projects/cd-winterreise-transcription-pour-quatuor-et-baryton-les-heures-du-jour,100.0,9,False
75,https://www.kisskissbankbank.com/en/projects/cd-winterreise-transcription-pour-quatuor-et-baryton-les-heures-du-jour,1000.0,2,False
76,https://www.kisskissbankbank.com/en/projects/clock-stretcher-nouvel-ep-studio-et-clip,5.0,0,False
77,https://www.kisskissbankbank.com/en/projects/clock-stretcher-nouvel-ep-studio-et-clip,10.0,3,False
78,https://www.kisskissbankbank.com/en/projects/clock-stretcher-nouvel-ep-studio-et-clip,15.0,6,False
79,https://www.kisskissbankbank.com/en/projects/clock-stretcher-nouvel-ep-studio-et-clip,20.0,7,False
80,https://www.kisskissbankbank.com/en/projects/clock-stretcher-nouvel-ep-studio-et-clip,30.0,16,False
81,https://www.kisskissbankbank.com/en/projects/clock-stretcher-nouvel-ep-studio-et-clip,40.0,3,False
82,https://www.kisskissbankbank.com/en/projects/clock-stretcher-nouvel-ep-studio-et-clip,50.0,1,False
83,https://www.kisskissbankbank.com/en/projects/clock-stretcher-nouvel-ep-studio-et-clip,50.0,3,True
84,https://www.kisskissbankbank.com/en/projects/clock-stretcher-nouvel-ep-studio-et-clip,65.0,2,False
85,https://www.kisskissbankbank.com/en/projects/clock-stretcher-nouvel-ep-studio-et-clip,100.0,0,False
86,https://www.kisskissbankbank.com/en/projects/clock-stretcher-nouvel-ep-studio-et-clip,100.0,4,False
87,https://www.kisskissbankbank.com/en/projects/clock-stretcher-nouvel-ep-studio-et-clip,130.0,1,False
88,https://www.kisskissbankbank.com/en/projects/clock-stretcher-nouvel-ep-studio-et-clip,350.0,0,False
89,https://www.kisskissbankbank.com/en/projects/clock-stretcher-nouvel-ep-studio-et-clip,750.0,1,False
90,https://www.kisskissbankbank.com/en/projects/la-ferme-a-la-maison-livraison-de-produits-locaux-bio,5.0,1,False
91,https://www.kisskissbankbank.com/en/projects/la-ferme-a-la-maison-livraison-de-produits-locaux-bio,15.0,1,False
92,https://www.kisskissbankbank.com/en/projects/la-ferme-a-la-maison-livraison-de-produits-locaux-bio,25.0,3,False
93,https://www.kisskissbankbank.com/en/projects/la-ferme-a-la-maison-livraison-de-produits-locaux-bio,50.0,21,False
94,https://www.kisskissbankbank.com/en/projects/la-ferme-a-la-maison-livraison-de-produits-locaux-bio,100.0,10,False
95,https://www.kisskissbankbank.com/en/projects/la-ferme-a-la-maison-livraison-de-produits-locaux-bio,200.0,0,False
96,https://www.kisskissbankbank.com/en/projects/la-ferme-a-la-maison-livraison-de-produits-locaux-bio,500.0,3,False
97,https://www.kisskissbankbank.com/en/projects/the-fuse-3eme-album-de-tony-paeleman,35.0,23,True
98,https://www.kisskissbankbank.com/en/projects/the-fuse-3eme-album-de-tony-paeleman,10.0,4,True
99,https://www.kisskissbankbank.com/en/projects/the-fuse-3eme-album-de-tony-paeleman,15.0,3,True
100,https://www.kisskissbankbank.com/en/projects/the-fuse-3eme-album-de-tony-paeleman,20.0,60,True
101,https://www.kisskissbankbank.com/en/projects/the-fuse-3eme-album-de-tony-paeleman,30.0,20,True
102,https://www.kisskissbankbank.com/en/projects/the-fuse-3eme-album-de-tony-paeleman,40.0,3,True
103,https://www.kisskissbankbank.com/en/projects/the-fuse-3eme-album-de-tony-paeleman,40.0,1,True
104,https://www.kisskissbankbank.com/en/projects/the-fuse-3eme-album-de-tony-paeleman,50.0,10,True
105,https://www.kisskissbankbank.com/en/projects/the-fuse-3eme-album-de-tony-paeleman,50.0,2,True
106,https://www.kisskissbankbank.com/en/projects/the-fuse-3eme-album-de-tony-paeleman,60.0,8,True
107,https://www.kisskissbankbank.com/en/projects/the-fuse-3eme-album-de-tony-paeleman,80.0,2,True
108,https://www.kisskissbankbank.com/en/projects/the-fuse-3eme-album-de-tony-paeleman,80.0,3,True
109,https://www.kisskissbankbank.com/en/projects/the-fuse-3eme-album-de-tony-paeleman,140.0,2,True
110,https://www.kisskissbankbank.com/en/projects/the-fuse-3eme-album-de-tony-paeleman,250.0,0,True
111,https://www.kisskissbankbank.com/en/projects/the-fuse-3eme-album-de-tony-paeleman,400.0,0,True
112,https://www.kisskissbankbank.com/en/projects/the-fuse-3eme-album-de-tony-paeleman,1300.0,0,True
113,https://www.kisskissbankbank.com/en/projects/heuvelsven-de-toekomst-verzekeren-van-een-vrijhaven-voor-jongeren,10.0,18,False
114,https://www.kisskissbankbank.com/en/projects/heuvelsven-de-toekomst-verzekeren-van-een-vrijhaven-voor-jongeren,25.0,67,False
115,https://www.kisskissbankbank.com/en/projects/heuvelsven-de-toekomst-verzekeren-van-een-vrijhaven-voor-jongeren,50.0,70,False
116,https://www.kisskissbankbank.com/en/projects/heuvelsven-de-toekomst-verzekeren-van-een-vrijhaven-voor-jongeren,100.0,88,False
117,https://www.kisskissbankbank.com/en/projects/heuvelsven-de-toekomst-verzekeren-van-een-vrijhaven-voor-jongeren,400.0,20,False
118,https://www.kisskissbankbank.com/en/projects/l-eveil-des-puys-bistrot-evenementiel-au-coeur-des-puys-auvergnats,25.0,5,False
119,https://www.kisskissbankbank.com/en/projects/l-eveil-des-puys-bistrot-evenementiel-au-coeur-des-puys-auvergnats,2.0,1,False
120,https://www.kisskissbankbank.com/en/projects/l-eveil-des-puys-bistrot-evenementiel-au-coeur-des-puys-auvergnats,5.0,1,False
121,https://www.kisskissbankbank.com/en/projects/l-eveil-des-puys-bistrot-evenementiel-au-coeur-des-puys-auvergnats,15.0,8,False
122,https://www.kisskissbankbank.com/en/projects/l-eveil-des-puys-bistrot-evenementiel-au-coeur-des-puys-auvergnats,25.0,16,False
123,https://www.kisskissbankbank.com/en/projects/l-eveil-des-puys-bistrot-evenementiel-au-coeur-des-puys-auvergnats,50.0,15,False
124,https://www.kisskissbankbank.com/en/projects/l-eveil-des-puys-bistrot-evenementiel-au-coeur-des-puys-auvergnats,50.0,3,False
125,https://www.kisskissbankbank.com/en/projects/l-eveil-des-puys-bistrot-evenementiel-au-coeur-des-puys-auvergnats,100.0,7,False
126,https://www.kisskissbankbank.com/en/projects/l-eveil-des-puys-bistrot-evenementiel-au-coeur-des-puys-auvergnats,150.0,8,False
127,https://www.kisskissbankbank.com/en/projects/l-eveil-des-puys-bistrot-evenementiel-au-coeur-des-puys-auvergnats,300.0,12,False
128,https://www.kisskissbankbank.com/en/projects/transat-jacques-vabre-2021-pourquoi-pas-nous,100.0,42,False
129,https://www.kisskissbankbank.com/en/projects/transat-jacques-vabre-2021-pourquoi-pas-nous,10.0,9,False
130,https://www.kisskissbankbank.com/en/projects/transat-jacques-vabre-2021-pourquoi-pas-nous,20.0,21,False
131,https://www.kisskissbankbank.com/en/projects/transat-jacques-vabre-2021-pourquoi-pas-nous,50.0,19,False
132,https://www.kisskissbankbank.com/en/projects/transat-jacques-vabre-2021-pourquoi-pas-nous,500.0,8,False
133,https://www.kisskissbankbank.com/en/projects/transat-jacques-vabre-2021-pourquoi-pas-nous,1000.0,0,False
134,https://www.kisskissbankbank.com/en/projects/pisciculture-normand-truites-produits-locaux-de-qualite-en-circuit-court,30.0,23,True
135,https://www.kisskissbankbank.com/en/projects/pisciculture-normand-truites-produits-locaux-de-qualite-en-circuit-court,6.0,1,True
136,https://www.kisskissbankbank.com/en/projects/pisciculture-normand-truites-produits-locaux-de-qualite-en-circuit-court,10.0,15,True
137,https://www.kisskissbankbank.com/en/projects/pisciculture-normand-truites-produits-locaux-de-qualite-en-circuit-court,50.0,21,True
138,https://www.kisskissbankbank.com/en/projects/levolcan,50.0,66,True
139,https://www.kisskissbankbank.com/en/projects/levolcan,3.0,39,True
140,https://www.kisskissbankbank.com/en/projects/levolcan,8.0,24,True
141,https://www.kisskissbankbank.com/en/projects/levolcan,10.0,13,True
142,https://www.kisskissbankbank.com/en/projects/levolcan,15.0,28,True
143,https://www.kisskissbankbank.com/en/projects/levolcan,20.0,31,True
144,https://www.kisskissbankbank.com/en/projects/levolcan,20.0,41,True
145,https://www.kisskissbankbank.com/en/projects/levolcan,40.0,5,True
146,https://www.kisskissbankbank.com/en/projects/levolcan,60.0,4,True
147,https://www.kisskissbankbank.com/en/projects/levolcan,60.0,15,True
148,https://www.kisskissbankbank.com/en/projects/levolcan,70.0,3,True
149,https://www.kisskissbankbank.com/en/projects/levolcan,90.0,1,True
150,https://www.kisskissbankbank.com/en/projects/levolcan,100.0,7,True
151,https://www.kisskissbankbank.com/en/projects/levolcan,240.0,0,True
152,https://www.kisskissbankbank.com/en/projects/levolcan,400.0,1,True
153,https://www.kisskissbankbank.com/en/projects/levolcan,420.0,0,True
154,https://www.kisskissbankbank.com/en/projects/levolcan,600.0,1,True
155,https://www.kisskissbankbank.com/en/projects/levolcan,1000.0,0,True
156,https://www.kisskissbankbank.com/en/projects/table-boulangerie-engagee,20.0,9,True
157,https://www.kisskissbankbank.com/en/projects/table-boulangerie-engagee,10.0,18,True
158,https://www.kisskissbankbank.com/en/projects/table-boulangerie-engagee,30.0,3,True
159,https://www.kisskissbankbank.com/en/projects/table-boulangerie-engagee,40.0,8,True
160,https://www.kisskissbankbank.com/en/projects/table-boulangerie-engagee,70.0,1,True
161,https://www.kisskissbankbank.com/en/projects/table-boulangerie-engagee,100.0,2,True
162,https://www.kisskissbankbank.com/en/projects/table-boulangerie-engagee,200.0,1,True
163,https://www.kisskissbankbank.com/en/projects/table-boulangerie-engagee,400.0,0,True
